timestamp,timestamp_unix_milli,elapsed_s,connected_clients,total_clients,bytes_sent,bytes_received,uptime_s,lg_connected_clients,ws_rtt_avg_ms,ws_rtt_p50_ms,ws_rtt_p95_ms,ws_rtt_p99_ms,ws_rtt_max_ms,ws_jitter_ms,connection_drops,cpu_percent,memory_mb,migration_event
2026-02-22T18:31:51.83954166+01:00,1771781511839,1.000,4,4,344344,6680,8.8,4,0.325,0.317,0.453,0.502,0.708,0.050,0,0.68,6.58,0
2026-02-22T18:31:52.839541482+01:00,1771781512839,2.000,4,4,414800,8080,9.8,4,0.310,0.313,0.421,0.479,0.487,0.047,0,1.03,6.58,0
2026-02-22T18:31:53.839541552+01:00,1771781513839,3.000,4,4,486400,9480,10.8,4,0.302,0.292,0.412,0.502,0.512,0.065,0,1.00,6.58,0
2026-02-22T18:31:54.839543718+01:00,1771781514839,4.000,4,4,558000,10880,11.8,4,0.290,0.269,0.482,0.483,0.484,0.032,0,1.00,6.58,0
2026-02-22T18:31:55.839541784+01:00,1771781515839,5.000,4,4,629600,12280,12.8,4,0.284,0.269,0.377,0.460,0.492,0.036,0,2.00,6.58,0
2026-02-22T18:31:56.839541605+01:00,1771781516839,6.000,4,4,701201,13681,13.8,4,0.299,0.273,0.493,0.519,0.522,0.055,0,1.00,6.58,0
2026-02-22T18:31:57.839543752+01:00,1771781517839,7.000,4,4,772832,15112,14.8,4,0.300,0.272,0.467,0.520,0.523,0.054,0,1.00,6.58,0
2026-02-22T18:31:58.839541476+01:00,1771781518839,8.000,4,4,844472,16552,15.8,4,0.300,0.259,0.485,0.493,0.495,0.036,0,1.00,6.58,0
2026-02-22T18:31:59.839543194+01:00,1771781519839,9.000,4,4,916112,17992,16.8,4,0.287,0.260,0.367,0.497,0.568,0.036,0,1.00,6.58,0
2026-02-22T18:32:00.839541667+01:00,1771781520839,10.000,4,4,987752,19432,17.8,4,0.309,0.268,0.539,0.594,0.605,0.062,0,1.00,6.58,0
2026-02-22T18:32:01.839541639+01:00,1771781521839,11.000,4,4,1059392,20872,18.8,4,0.297,0.251,0.494,0.533,0.555,0.041,0,1.00,6.58,0
2026-02-22T18:32:02.839541679+01:00,1771781522839,12.000,4,4,1131032,22312,19.8,4,0.293,0.267,0.491,0.505,0.513,0.041,0,1.00,10.58,0
2026-02-22T18:32:03.839541565+01:00,1771781523839,13.000,4,4,1202672,23752,20.8,4,0.298,0.268,0.514,0.552,0.559,0.043,0,2.00,10.58,0
2026-02-22T18:32:04.839541645+01:00,1771781524839,14.000,4,4,1274312,25192,21.8,4,0.311,0.275,0.452,0.508,0.535,0.041,0,1.00,10.58,0
2026-02-22T18:32:05.83954161+01:00,1771781525839,15.000,4,4,1345952,26632,22.8,4,0.308,0.290,0.439,0.515,0.536,0.044,0,1.00,10.58,0
2026-02-22T18:32:06.839541787+01:00,1771781526839,16.000,4,4,1417592,28072,23.8,4,0.293,0.256,0.436,0.500,0.538,0.035,0,1.00,10.58,0
2026-02-22T18:32:07.839544285+01:00,1771781527839,17.000,4,4,1489232,29512,24.8,4,0.287,0.292,0.414,0.453,0.465,0.053,0,1.00,10.58,0
2026-02-22T18:32:08.839541767+01:00,1771781528839,18.000,4,4,1560872,30952,25.8,4,0.299,0.299,0.397,0.535,0.590,0.051,0,2.00,10.58,0
2026-02-22T18:32:09.839543435+01:00,1771781529839,19.000,4,4,1632512,32392,26.8,4,0.332,0.319,0.471,0.479,0.482,0.051,0,1.00,10.58,0
2026-02-22T18:32:10.839543582+01:00,1771781530839,20.000,4,4,1704152,33832,27.8,4,0.351,0.330,0.491,0.567,0.587,0.051,0,0.00,10.58,0
